stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"1926043555","2021-05-09 11:26:54","Precio de alimentos en el Valle del Cauca se ha incrementado hasta 300%, según Cavasa","https://www.infobae.com/america/colombia/2021/05/09/precio-de-alimentos-en-el-valle-del-cauca-se-ha-incrementado-hasta-300-segun-cavasa/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
"1926075207","2021-05-09 08:44:26","Presidente Duque y alcaldes piden cese a los bloqueos en el país","https://canaltropical.co/?p=94051","es","False","","567013","canaltropical.co","http://canaltropical.co/"
"1926327626","2021-05-09 18:13:41","En Putumayo llegó planta productora de oxígeno","https://diariodelsur.com.co/noticias/local/en-putumayo-llego-planta-productora-de-oxigeno-682651","es","False","","330235","Diario Del Sur","http://diariodelsur.com.co/"
"1926387430","2021-05-10 00:00:15","'10.000 policías y 2.100 militares para restablecer orden en Valle'","https://www.eltiempo.com/colombia/cali/10-000-policias-y-2-100-militares-para-restablecer-seguridad-en-valle-587265","es","False","","38871","El Tiempo","http://www.eltiempo.com"
"1926400435","2021-05-10 00:08:04","Colombia recibió un nuevo lote con 1 millón de vacunas del laboratorio Sinovac","https://www.infobae.com/america/colombia/2021/05/10/colombia-recibio-un-nuevo-lote-con-1-millon-del-laboratorio-sinovac/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
"1926434932","2021-05-10 01:00:00","Tenjo, Cundinamarca, primer municipio que logra concertar con manifestantes del Paro Nacional a través del diálogo","https://www.infobae.com/america/colombia/2021/05/10/tenjo-cundinamarca-primer-municipio-que-logra-concertar-con-manifestantes-del-paro-nacional-a-traves-del-dialogo/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
"1926520106","2021-05-10 01:01:25","Descerebrados, idiotas útiles y los terroristas","https://www.elparchedelcapuchino.com/descerebrados-idiotas-utiles-y-los-terroristas/","es","False","","879769","elparchedelcapuchino.com","http://elparchedelcapuchino.com/"
"1926718631","2021-05-10 11:45:00","Amanezca bien informado con La W este 10 de mayo","https://www.wradio.com.co/noticias/actualidad/amanezca-bien-informado-con-la-w-este-10-de-mayo/20210510/nota/4133441.aspx","es","False","","57790","wradio.com.co","http://wradio.com.co/"
"1926797335","2021-05-10 00:24:51","La responsabilidad de los influenciadores","https://www.eltiempo.com/opinion/columnistas/diego-santos/la-responsabilidad-de-los-influenciadores-columna-de-diego-santos-587256","es","False","","38871","El Tiempo","http://www.eltiempo.com"
"1926841305","2021-05-10 09:52:02","Gobernadora del Valle del Cauca anunció el cierre de las fronteras del departamento","https://www.infobae.com/america/colombia/2021/05/10/gobernadora-del-valle-del-cauca-anuncio-el-cierre-de-las-fronteras-del-departamento/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
